,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
26,2020-06-11,1591808400,90.2,77.0,83.8,104.3,77.0,91.4,77.0,81.4,1.0,100.0,4.17,0.0,0.0,8.5,275.4,59.9,5.3,160.7,13.9,6.0,05:30:35,1591828235,18:15:17,1591874117,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
27,2020-06-12,1591894800,92.5,77.0,85.4,103.2,77.0,94.0,76.6,76.6,1.0,100.0,50.0,0.0,0.0,12.4,257.1,49.5,6.1,128.3,11.2,4.0,05:30:44,1591914644,18:15:33,1591960533,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
28,2020-06-13,1591981200,94.9,77.0,83.1,108.2,77.0,89.6,77.1,83.7,1.0,100.0,4.17,0.0,0.0,15.2,262.7,59.5,5.7,183.0,15.9,7.0,05:30:53,1592001053,18:15:49,1592046949,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
29,2020-06-14,1592067600,88.5,77.7,80.4,103.5,77.7,83.4,77.7,91.8,1.0,100.0,12.5,0.0,0.0,9.8,209.6,59.6,5.3,96.0,8.2,3.0,05:31:03,1592087463,18:16:04,1592133364,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
30,2020-06-15,1592154000,90.7,77.0,81.5,102.6,77.0,87.2,77.8,89.2,1.0,100.0,8.33,0.0,0.0,9.8,191.7,58.6,5.2,124.1,10.9,4.0,05:31:13,1592173873,18:16:19,1592219779,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
31,2020-06-16,1592240400,92.1,75.2,82.6,105.1,75.2,88.2,77.7,86.7,1.0,100.0,8.33,0.0,0.0,15.2,147.5,60.6,5.3,203.5,17.6,6.0,05:31:24,1592260284,18:16:34,1592306194,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
32,2020-06-17,1592326800,93.1,77.0,81.9,104.1,77.0,88.1,77.8,88.2,1.0,100.0,4.17,0.0,0.0,13.8,311.0,48.3,5.0,194.9,16.8,6.0,05:31:35,1592346695,18:16:48,1592392608,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
33,2020-06-18,1592413200,94.1,78.8,85.9,105.4,78.8,93.8,76.2,74.7,1.0,100.0,66.67,0.0,0.0,9.8,330.0,44.5,6.0,113.7,9.8,4.0,05:31:47,1592433107,18:17:02,1592479022,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
34,2020-06-19,1592499600,93.2,80.6,85.6,104.1,88.1,96.6,77.6,78.1,1.0,100.0,4.17,0.0,0.0,7.8,244.2,53.8,5.8,95.3,8.3,3.0,05:31:59,1592519519,18:17:16,1592565436,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
35,2020-06-20,1592586000,93.4,78.8,85.5,106.8,78.8,95.8,77.6,78.3,1.0,100.0,4.17,0.0,0.0,9.2,209.7,64.5,5.9,115.7,10.0,4.0,05:32:12,1592605932,18:17:30,1592651850,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
